x,y,p
5,5,0.00262
5,6,0.00177
5,7,0.00325
5,8,0.00353
5,9,0.003
5,10,0.00365
5,11,0.00544
5,12,0.00466
5,13,0.00381
5,14,0.00445
5,15,0.00122
5,16,0.0049
5,17,0.0022
5,18,0.00359
5,19,0.00304
5,20,0.00212
5,21,0.00355
5,22,0.00247
5,23,0.00337
5,24,0.00184
5,25,0.00266
6,5,0.00493
6,6,0.00307
6,7,0.00216
6,8,0.00186
6,9,0.00448
6,10,0.00356
6,11,0.0037
6,12,0.00376
6,13,0.00381
6,14,0.00318
6,15,0.00201
6,16,0.00337
6,17,0.00301
6,18,0.00435
6,19,0.00369
6,20,0.00266
6,21,0.00396
6,22,0.00394
6,23,0.00495
6,24,0.0014
6,25,0.00387
7,5,0.00283
7,6,0.00333
7,7,0.00369
7,8,0.00387
7,9,0.00396
7,10,0.00275
7,11,0.00569
7,12,0.00223
7,13,0.00364
7,14,0.00362
7,15,0.0041
7,16,0.00441
7,17,0.00644
7,18,0.00316
7,19,0.00389
7,20,0.00328
7,21,0.00244
7,22,0.00526
7,23,0.00488
7,24,0.00387
7,25,0.00593
8,5,0.00288
8,6,0.00143
8,7,0.00456
8,8,0.00205
8,9,0.00273
8,10,0.00357
8,11,0.00175
8,12,0.00551
8,13,0.00627
8,14,0.01
8,15,0.00796
8,16,0.00881
8,17,0.0065
8,18,0.00431
8,19,0.00486
8,20,0.00457
8,21,0.00339
8,22,0.00276
8,23,0.00339
8,24,0.00305
8,25,0.00195
9,5,0.00466
9,6,0.00404
9,7,0.00313
9,8,0.00318
9,9,0.00195
9,10,0.0043
9,11,0.00437
9,12,0.00666
9,13,0.0103
9,14,0.01257
9,15,0.01372
9,16,0.01399
9,17,0.00934
9,18,0.00784
9,19,0.00416
9,20,0.00298
9,21,0.00292
9,22,0.00323
9,23,0.0032
9,24,0.00334
9,25,0.00238
10,5,0.00277
10,6,0.00293
10,7,0.00373
10,8,0.00315
10,9,0.00509
10,10,0.00259
10,11,0.00512
10,12,0.00727
10,13,0.01273
10,14,0.01635
10,15,0.0176
10,16,0.015
10,17,0.01172
10,18,0.00766
10,19,0.00644
10,20,0.00498
10,21,0.00359
10,22,0.00396
10,23,0.00411
10,24,0.00149
10,25,0.00321
11,5,0.00425
11,6,0.00405
11,7,0.00389
11,8,0.00315
11,9,0.00198
11,10,0.00418
11,11,0.00526
11,12,0.00645
11,13,0.00944
11,14,0.0125
11,15,0.01554
11,16,0.01179
11,17,0.00905
11,18,0.00792
11,19,0.00482
11,20,0.00462
11,21,0.00296
11,22,0.00112
11,23,0.00238
11,24,0.00271
11,25,0.00366
12,5,0.0023
12,6,0.00294
12,7,0.00217
12,8,0.00533
12,9,0.00328
12,10,0.00532
12,11,0.00596
12,12,0.00453
12,13,0.00395
12,14,0.00736
12,15,0.00752
12,16,0.00873
12,17,0.00635
12,18,0.00634
12,19,0.00205
12,20,0.00363
12,21,0.00528
12,22,0.00367
12,23,0.00467
12,24,0.00356
12,25,0.0034
13,5,0.00361
13,6,0.00461
13,7,0.0
13,8,0.00333
13,9,0.00158
13,10,0.00517
13,11,0.00364
13,12,0.00267
13,13,0.00303
13,14,0.00543
13,15,0.00341
13,16,0.00585
13,17,0.0043
13,18,0.00318
13,19,0.00488
13,20,0.00426
13,21,0.00255
13,22,0.004
13,23,0.00351
13,24,0.00388
13,25,0.00397
14,5,0.00277
14,6,0.00257
14,7,0.00327
14,8,0.00428
14,9,0.00498
14,10,0.00214
14,11,0.00292
14,12,0.00218
14,13,0.00302
14,14,0.00436
14,15,0.00276
14,16,0.00121
14,17,0.0035
14,18,0.00121
14,19,0.004
14,20,0.00265
14,21,0.00234
14,22,0.00145
14,23,0.00358
14,24,0.0019
14,25,0.00268
15,5,0.00336
15,6,0.0029
15,7,0.0012
15,8,0.00108
15,9,0.00243
15,10,0.00227
15,11,0.00562
15,12,0.00247
15,13,0.00363
15,14,0.00437
15,15,0.00272
15,16,0.00387
15,17,0.00385
15,18,0.00388
15,19,0.00257
15,20,0.00406
15,21,0.00393
15,22,0.00244
15,23,0.00333
15,24,0.00235
15,25,0.00286
